invoice_id,customer_id,invoice_date,due_date,amount,currency
INV-000001,CUST-0004,2025-11-24,2025-12-24,593.69,USD
INV-000002,CUST-0095,2025-04-25,2025-05-25,741.58,USD
INV-000003,CUST-0076,2025-10-07,2025-11-06,465.80,USD
INV-000004,CUST-0028,2025-01-16,2025-02-15,501.23,USD
INV-000005,CUST-0072,2025-11-05,2025-12-05,149.12,USD
INV-000006,CUST-0070,2025-11-29,2025-12-29,3686.96,USD
INV-000007,CUST-0036,2025-08-18,2025-09-17,3099.44,USD
INV-000008,CUST-0044,2025-12-24,2026-01-23,2225.71,USD
INV-000009,CUST-0044,2025-04-21,2025-05-21,4012.90,USD
INV-000010,CUST-0046,2025-07-14,2025-08-13,517.07,USD
INV-000011,CUST-0006,2025-05-16,2025-06-15,4241.67,USD
INV-000012,CUST-0049,2025-03-05,2025-04-04,4845.48,USD
INV-000013,CUST-0081,2025-05-31,2025-06-30,4358.46,USD
INV-000014,CUST-0091,2025-10-23,2025-11-22,1018.14,USD
INV-000015,CUST-0099,2025-12-05,2026-01-04,1204.84,USD
INV-000016,CUST-0013,2025-04-30,2025-05-30,4552.86,USD
INV-000017,CUST-0047,2025-08-21,2025-09-20,3342.81,USD
INV-000018,CUST-0086,2025-07-01,2025-07-31,1108.42,USD
INV-000019,CUST-0010,2025-12-16,2026-01-15,3407.57,USD
INV-000020,CUST-0094,2025-03-29,2025-04-28,2810.43,USD
INV-000021,CUST-0035,2025-08-25,2025-09-24,1999.43,USD
INV-000022,CUST-0088,2025-10-13,2025-11-12,1161.41,USD
INV-000023,CUST-0005,2025-04-28,2025-05-28,4318.61,USD
INV-000024,CUST-0028,2025-05-18,2025-06-17,357.01,USD
INV-000025,CUST-0084,2025-06-11,2025-07-11,1124.77,USD
INV-000026,CUST-0019,2025-11-26,2025-12-26,2415.70,USD
INV-000027,CUST-0072,2025-05-07,2025-06-06,3915.88,USD
INV-000028,CUST-0075,2025-10-27,2025-11-26,2256.22,USD
INV-000029,CUST-0066,2025-04-23,2025-05-23,735.25,USD
INV-000030,CUST-0015,2025-01-25,2025-02-24,4524.65,USD
INV-000031,CUST-0088,2025-03-23,2025-04-22,4162.77,USD
INV-000032,CUST-0049,2025-02-02,2025-03-04,2027.28,USD
INV-000033,CUST-0071,2025-09-28,2025-10-28,1328.13,USD
INV-000034,CUST-0069,2025-02-28,2025-03-30,3584.12,USD
INV-000035,CUST-0038,2025-06-24,2025-07-24,594.85,USD
INV-000036,CUST-0093,2025-08-21,2025-09-20,27.01,USD
INV-000037,CUST-0014,2025-04-02,2025-05-02,2671.71,USD
INV-000038,CUST-0078,2025-11-24,2025-12-24,2671.61,USD
INV-000039,CUST-0021,2025-07-11,2025-08-10,4007.75,USD
INV-000040,CUST-0042,2025-01-01,2025-01-31,3150.19,USD
INV-000041,CUST-0047,2025-02-27,2025-03-29,4881.15,USD
INV-000042,CUST-0073,2025-01-30,2025-03-01,1272.86,USD
INV-000043,CUST-0009,2025-09-06,2025-10-06,4288.31,USD
INV-000044,CUST-0061,2025-03-07,2025-04-06,3468.99,USD
INV-000045,CUST-0078,2025-05-16,2025-06-15,2776.53,USD
INV-000046,CUST-0094,2025-10-04,2025-11-03,3969.76,USD
INV-000047,CUST-0086,2025-06-09,2025-07-09,2101.86,USD
INV-000048,CUST-0067,2025-08-13,2025-09-12,4726.56,USD
INV-000049,CUST-0009,2025-05-07,2025-06-06,1188.06,USD
INV-000050,CUST-0030,2025-10-29,2025-11-28,2914.14,USD
INV-000051,CUST-0091,2025-01-04,2025-02-03,382.20,USD
INV-000052,CUST-0005,2025-04-28,2025-05-28,363.37,USD
INV-000053,CUST-0036,2025-09-21,2025-10-21,1257.82,USD
INV-000054,CUST-0017,2025-04-20,2025-05-20,2837.13,USD
INV-000055,CUST-0061,2025-08-31,2025-09-30,1284.00,USD
INV-000056,CUST-0085,2025-02-18,2025-03-20,518.19,USD
