payment_id,invoice_id,payment_date,amount,currency,payment_method
PAY-000001,INV-ORPHAN-000001,2025-12-11,593.69,USD,bank_transfer
PAY-000002,INV-ORPHAN-000002,2025-05-01,741.58,USD,check
PAY-000003,INV-ORPHAN-000003,2025-11-03,465.80,USD,bank_transfer
PAY-000004,INV-ORPHAN-000004,2025-01-30,501.23,USD,check
PAY-000005,INV-ORPHAN-000005,2025-11-17,149.12,USD,check
PAY-000006,INV-ORPHAN-000006,2025-12-25,3686.96,USD,bank_transfer
PAY-000007,INV-ORPHAN-000007,2025-08-18,3099.44,USD,bank_transfer
PAY-000008,INV-ORPHAN-000008,2026-01-10,2225.71,USD,bank_transfer
PAY-000009,INV-ORPHAN-000009,2025-04-27,4012.90,USD,bank_transfer
PAY-000010,INV-ORPHAN-000010,2025-08-05,517.07,USD,check
PAY-000011,INV-000011,2025-06-14,2120.83,USD,check
PAY-000012,INV-000012,2025-03-10,2422.74,USD,check
PAY-000013,INV-000013,2025-07-09,2179.23,USD,card
PAY-000014,INV-000014,2025-10-27,509.07,USD,bank_transfer
PAY-000015,INV-000015,2025-12-23,602.42,USD,bank_transfer
PAY-000016,INV-000016,2025-05-24,2276.43,USD,card
PAY-000017,INV-000017,2025-08-31,1671.40,USD,card
PAY-000018,INV-000018,2025-07-18,554.21,USD,check
PAY-000019,INV-000019,2026-01-23,1703.78,USD,check
PAY-000020,INV-000020,2025-04-13,1405.21,USD,bank_transfer
PAY-000021,INV-000021,2025-10-04,1999.43,EUR,check
PAY-000022,INV-000022,2025-11-02,1161.41,EUR,bank_transfer
PAY-000023,INV-000023,2025-05-18,4318.61,EUR,card
PAY-000024,INV-000024,2025-06-23,357.01,EUR,check
PAY-000025,INV-000025,2025-07-12,1124.77,EUR,card
PAY-000026,INV-000026,2025-12-12,2415.70,EUR,bank_transfer
PAY-000027,INV-000027,2025-06-10,3915.88,EUR,card
PAY-000028,INV-000028,2025-11-21,2256.22,EUR,card
PAY-000029,INV-000029,2025-05-24,735.25,EUR,bank_transfer
PAY-000030,INV-000030,2025-02-03,4524.65,EUR,check
PAY-000031,INV-000031,2025-04-19,4162.77,USD,check
PAY-000032,INV-000032,2025-03-12,2027.28,USD,card
PAY-000033,INV-000033,2025-09-28,1328.13,USD,check
PAY-000034,INV-000034,2025-03-17,3584.12,USD,check
PAY-000035,INV-000035,2025-07-21,594.85,USD,bank_transfer
PAY-000036,INV-000036,2025-09-06,27.01,USD,check
PAY-000037,INV-000037,2025-05-12,2671.71,USD,card
PAY-000038,INV-000038,2025-12-06,2671.61,USD,bank_transfer
PAY-000039,INV-000039,2025-08-14,4007.75,USD,check
PAY-000040,INV-000040,2025-02-01,3150.19,USD,bank_transfer
PAY-000041,INV-000041,2025-03-18,4881.15,USD,bank_transfer
PAY-000042,INV-000042,2025-02-04,1272.86,USD,bank_transfer
PAY-000043,INV-000043,2025-10-10,4288.31,USD,bank_transfer
PAY-000044,INV-000044,2025-04-11,3468.99,USD,bank_transfer
PAY-000045,INV-000045,2025-06-12,2776.53,USD,bank_transfer
PAY-000046,INV-000046,2025-11-17,3969.76,USD,bank_transfer
PAY-000047,INV-000047,2025-07-20,2101.86,USD,card
PAY-000048,INV-000048,2025-09-10,4726.56,USD,bank_transfer
PAY-000049,INV-000049,2025-05-28,1188.06,USD,bank_transfer
PAY-000050,INV-000050,2025-12-05,2914.14,USD,bank_transfer
PAY-000051,INV-000051,2025-02-13,382.20,USD,bank_transfer
PAY-000052,INV-000052,2025-05-19,363.37,USD,bank_transfer
PAY-000053,INV-000053,2025-11-02,1257.82,USD,card
PAY-000054,INV-000054,2025-05-26,2837.13,USD,check
PAY-000055,INV-000055,2025-09-26,1284.00,USD,bank_transfer
PAY-000056,INV-000056,2025-03-17,518.19,USD,card
PAY-000057,INV-000057,2025-08-08,2165.35,USD,check
PAY-000058,INV-000058,2025-12-04,3397.84,USD,card
PAY-000059,INV-000059,2025-07-08,4207.41,USD,bank_transfer
PAY-000060,INV-000060,2025-04-16,2821.68,USD,card
PAY-000061,INV-000061,2025-04-19,1470.37,USD,bank_transfer
PAY-000062,INV-000062,2025-08-21,4246.36,USD,bank_transfer
PAY-000063,INV-000063,2025-12-05,2844.23,USD,bank_transfer
PAY-000064,INV-000064,2025-04-26,2140.78,USD,bank_transfer
PAY-000065,INV-000065,2025-08-04,4741.39,USD,card
PAY-000066,INV-000066,2025-01-31,2056.93,USD,card
PAY-000067,INV-000067,2025-09-09,3662.14,USD,check
PAY-000068,INV-000068,2025-09-25,821.58,USD,bank_transfer
PAY-000069,INV-000069,2025-03-05,3046.57,USD,bank_transfer
PAY-000070,INV-000070,2025-07-17,309.71,USD,card
PAY-000071,INV-000071,2025-09-25,4830.23,USD,bank_transfer
PAY-000072,INV-000072,2025-09-22,430.01,USD,check
PAY-000073,INV-000073,2025-03-01,3550.05,USD,bank_transfer
PAY-000074,INV-000074,2025-11-26,1300.87,USD,bank_transfer
PAY-000075,INV-000075,2025-12-26,439.82,USD,check
PAY-000076,INV-000076,2025-11-02,2750.88,USD,bank_transfer
PAY-000077,INV-000077,2025-12-24,3764.90,USD,card
PAY-000078,INV-000078,2025-09-01,696.17,USD,card
PAY-000079,INV-000079,2025-08-27,1667.67,USD,bank_transfer
PAY-000080,INV-000080,2025-08-29,3266.66,USD,bank_transfer
PAY-000081,INV-000081,2025-10-19,1127.54,USD,bank_transfer
PAY-000082,INV-000082,2025-07-13,4628.26,USD,card
PAY-000083,INV-000083,2025-06-29,837.04,USD,check
PAY-000084,INV-000084,2025-07-07,3216.95,USD,bank_transfer
PAY-000085,INV-000085,2025-12-27,4293.97,USD,check
PAY-000086,INV-000086,2025-03-11,4932.69,USD,bank_transfer
PAY-000087,INV-000087,2025-03-05,3902.40,USD,card
PAY-000088,INV-000088,2025-07-09,3181.05,USD,card
PAY-000089,INV-000089,2025-05-01,3614.46,USD,check
PAY-000090,INV-000090,2025-09-13,1326.59,USD,check
PAY-000091,INV-000091,2025-08-07,4358.17,USD,bank_transfer
PAY-000092,INV-000092,2025-07-30,4052.88,USD,card
PAY-000093,INV-000093,2025-04-28,3896.18,USD,check
PAY-000094,INV-000094,2025-08-14,2950.76,USD,bank_transfer
PAY-000095,INV-000095,2026-01-23,4749.18,USD,bank_transfer
PAY-000096,INV-000096,2025-07-18,3064.02,USD,card
PAY-000097,INV-000097,2025-03-30,229.30,USD,bank_transfer
PAY-000098,INV-000098,2025-07-18,1111.40,USD,check
PAY-000099,INV-000099,2025-03-29,1864.29,USD,card
PAY-000100,INV-000100,2025-11-29,3939.42,USD,bank_transfer
PAY-000101,INV-000101,2025-04-02,4631.15,USD,bank_transfer
PAY-000102,INV-000102,2025-08-01,4111.95,USD,check
PAY-000103,INV-000103,2025-06-21,1408.83,USD,bank_transfer
PAY-000104,INV-000104,2025-08-14,4582.66,USD,bank_transfer
PAY-000105,INV-000105,2025-05-05,4291.26,USD,card
PAY-000106,INV-000106,2025-06-08,1178.76,USD,bank_transfer
PAY-000107,INV-000107,2025-07-28,1731.03,USD,card
PAY-000108,INV-000108,2025-07-24,3373.21,USD,check
PAY-000109,INV-000109,2025-10-09,1746.17,USD,card
PAY-000110,INV-000110,2025-04-04,3053.96,USD,bank_transfer
PAY-000111,INV-000111,2025-11-22,2288.36,USD,card
PAY-000112,INV-000112,2025-12-01,2691.32,USD,check
PAY-000113,INV-000113,2025-05-23,1345.47,USD,card
